n_workers,M,G,run,time_s,throughput
6,12000,50,0,62.43040699999983,192.21402801362535
6,12000,50,1,64.53513509999902,185.94522164408053
6,12000,50,2,64.52117849999922,185.98544352379034
6,12000,50,3,62.50139090000084,191.9957272502849
6,12000,50,4,62.876533499998914,190.85021600308497
n_workers,M,G,run,time_s,throughput
2,4000,50,0,48.582542600001034,82.33410163262873
2,4000,50,1,48.55013920000056,82.3890531708291
2,4000,50,2,48.79086500000267,81.9825596451258
2,4000,50,3,48.14472119999846,83.08283650420492
2,4000,50,4,49.17117639999924,81.34847064590592
n_workers,M,G,run,time_s,throughput
3,6000,50,0,51.346222500000295,116.85377634157928
3,6000,50,1,51.82147910000276,115.78210626565617
3,6000,50,2,52.15811490000124,115.03483228838583
3,6000,50,3,51.5282643999999,116.4409488630091
3,6000,50,4,53.50544110000192,112.13812794825805
n_workers,M,G,run,time_s,throughput
1,2000,50,0,47.155259600000136,42.41308428720843
1,2000,50,1,46.957678900002065,42.591542998943076
1,2000,50,2,47.63758939999752,41.983652514543564
1,2000,50,3,46.969881000000896,42.580478328228295
1,2000,50,4,47.46411309999894,42.137098312283534
n_workers,M,G,run,time_s,throughput
5,10000,50,0,58.94685120000213,169.64434565080956
5,10000,50,1,58.573932200000854,170.7244097229971
5,10000,50,2,58.72258879999936,170.29221981439807
5,10000,50,3,58.817175000000134,170.01836623401203
5,10000,50,4,58.99408019999828,169.50853316296457
n_workers,M,G,run,time_s,throughput
4,8000,50,0,53.43820539999797,149.70562615488402
4,8000,50,1,53.387865200002125,149.84678578231822
4,8000,50,2,53.21465239999816,150.33453455387556
4,8000,50,3,53.135805099998834,150.5576133634263
4,8000,50,4,53.526945499997964,149.4574354144737
